都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険の通常の指定基準を満たしている,障害福祉の通常の指定基準を満たしている,備考
011011,0190100222,北海道,札幌市中央区,小規模多機能型居宅介護事業所海陽亭,ショウキボタキノウガタキョタクカイゴジギョウショカイヨウテイ,小規模多機能型居宅介護,北海道札幌市中央区南11条西1丁目5番8号,,43.046292200000000,141.356852099999970,011－530－5700,011－530－5701,,株式会社　ろく舎,0190100222,,,25,http://rokusya.com/,,,,
011011,0190100545,北海道,札幌市中央区,小規模多機能型ホーム　アイケア中島公園通,ショウキボタキノウガタホーム　アイケアナカジマコウエンドオリ,小規模多機能型居宅介護,北海道札幌市中央区南９条西１１丁目2-11桐越ビル1F,桐越ビル1F,43.045411684084634,141.345224245260620,011-206-1558,011-206-1559,,株式会社ケアコミュニケーションズ,0190100545,,,,http://www.icare-g.com/facility.html,,,,
011011,0190100669,北海道,札幌市中央区,アイケア中島公園通,アイケアナカジマコウエンドオリ,小規模多機能型居宅介護,北海道札幌市中央区南11条西9丁目2-11桐越マンション1階,桐越マンション1階,43.045455700000000,141.345240900000000,011-206-1558,011-206-1559,2430002040453,株式会社アイケア北海道,0190100669,,,,http://www.icare-g.com,なし,,,
011011,0190100461,北海道,札幌市中央区,小規模多機能ホーム　スマイリンク山鼻,ショウキボタキノウホーム　スマイリンクヤマハナ,小規模多機能型居宅介護,北海道札幌市中央区南16条西9丁目1番33号小規模多機能ホーム　スマイリンク山鼻,小規模多機能ホーム　スマイリンク山鼻,43.038656700000000,141.345814600000040,011-557-8088,011-512-3986,9430002041957,株式会社悠ライフ,0190100461,,,0,http://www.furusato-sakura.jp/,なし,,,
011011,0190100255,北海道,札幌市中央区,小規模多機能さくらの森,ショウキボタキノウサクラノモリ,小規模多機能型居宅介護,北海道札幌市中央区南1条西15丁目1-316楽ゆう館南1条,楽ゆう館南1条,43.056802678540040,141.334787851537840,011-611-5800,011-611-5833,7430001038279,株式会社アルワン,0190100255,,,29,http://rakuyu-kan.com/,なし,通常の指定,なし,
011011,0190100800,北海道,札幌市中央区,小規模多機能　木蓮,ショウキボタキノウ　モクレン,小規模多機能型居宅介護,北海道札幌市中央区南15条西19丁目4-1楽ゆう館ふしみ,楽ゆう館ふしみ,43.037481841786120,141.327841398811300,011-205-3167,011-205-3168,7430001038279,株式会社アルワン,0190100800,,,0,http:/www.rakuyu-kan.com/,なし,,,
011011,0190100792,北海道,札幌市中央区,小規模多機能型居宅介護事業所つるかめ,ショウキボタキノウガタキョタクカイゴジギョウショツルカメ,小規模多機能型居宅介護,北海道札幌市中央区南14条西18丁目5番33号静明館,静明館,43.039951700000000,141.329363899999970,011-688-6716,011-688-6836,8430005003815,医療法人財団老蘇会,0190100792,,,0,www.seimeikan.or.jp,なし,,,
011011,0190100917,北海道,札幌市中央区,小規模多機能ホーム『ミヤビーの風』,ショウキボタキノウホーム　ミヤビーノカゼ,小規模多機能型居宅介護,北海道札幌市中央区宮の森2条14丁目1-20,,43.051391100000000,141.298698500000000,011-623-3811,011-623-3812,9430001079271,株式会社ミヤビー,0190100917,,,18,https://miyaby.amebaownd.com,なし,通常の指定,,
011011,0190100875,北海道,札幌市中央区,小規模多機能ホーム北のケア,ショウキボタキノウホームキタノケア,小規模多機能型居宅介護,北海道札幌市中央区南３条東１丁目３番地アルファ創成川公園ビル３階,アルファ創成川公園ビル３階,43.057940800000000,141.358542899999970,011-219-8900,011-219-8901,4430001010463,キタノケア株式会社,0190100875,,,0,www.alpha-care.net,なし,通常の指定,なし,
011011,0190101097,北海道,札幌市中央区,小規模多機能ホーム　グッドケア・大通西,ショウキボタキノウホーム　グッドケア・オオドオリニシ,小規模多機能型居宅介護,北海道札幌市中央区大通西12丁目4-64,,43.058180100000000,141.339444900000000,011-207-3294,011-206-0178,9290001018995,株式会社創生事業団,0190101097,,,0,http://www.goodtimehome.com,なし,通常の指定,なし,
011011,0190100339,北海道,札幌市中央区,小規模多機能型居宅介護　ノテ山鼻,ショウキボタキノウガタキョタクカイゴ　ノテヤマハナ,小規模多機能型居宅介護,北海道札幌市中央区南１８条西８丁目1-41,,43.036412600000000,141.349236600000040,011-512-3100,011-512-8190,3430005000585,社会福祉法人ノテ福祉会,0190100339,,,29,http://www.note.or.jp/facilities/details/45/,なし,,,
011011,0190100891,北海道,札幌市中央区,小規模多機能型居宅介護　ノテ伏見,ショウキボタキノウガタキョタクカイゴノテフシミ,小規模多機能型居宅介護,北海道札幌市中央区南12条西20丁目2番28号,,43.220326600000000,142.863473700000000,011-596-8511,011-522-5661,3430005000585,社会福祉法人ノテ福祉会,0190100891,,,0,,なし,通常の指定,なし,
011011,0190101089,北海道,札幌市中央区,小規模多機能型居宅介護　西円山の丘,ショウキボタキノウガタキョタクカイゴ　ニシマルヤノオカ,小規模多機能型居宅介護,札幌市中央区円山西町4丁目3番21号,,43.042273700000000,141.303832100000000,011-641-1081,011-641-1082,5430005000583,社会福祉法人渓仁会,0190101089,,,,https://www.keijinkai.com/keijuen/syoutaki,なし,通常の指定,なし,
011011,0190100198,北海道,札幌市中央区,PLACES山鼻,プレイシズヤマハナ,小規模多機能型居宅介護,札幌市中央区南14条西15丁目2-6,,43.041032187294310,141.336249483945720,011-530-6302,011-530-6303,,,0190100198,,,24,http://３eee.co.jp,なし,通常の指定,なし,
011011,0190100206,北海道,札幌市中央区,ＰＬＡＣＥＳ円山,プレイシズマルヤマ,小規模多機能型居宅介護,北海道札幌市中央区北1条西24丁目1-25ケアグランド円山　3階,ケアグランド円山　3階,43.057250900000010,141.320365800000000,011-676-4660,011-676-4676,5430002009173,有限会社ＴＨＥＯＧＲＡＭ,0190100206,,,0,https://3eee.co.jp,なし,,,
011011,0190100479,北海道,札幌市中央区,小規模多機能エスペランサ,ショウキボタキノウエスペランサ,小規模多機能型居宅介護,北海道札幌市中央区南11条西13丁目2-5サービス付き高齢者向け住宅エスペランサ,サービス付き高齢者向け住宅エスペランサ,43.044461400000000,141.339342600000000,011-206-7155,011-206-7745,5430002009173,有限会社時館,0190100479,,,29,https://3eee.co.jp/,なし,,,
011029,0190200881,北海道,札幌市北区,小規模多機能ホーム夢なごみ,ショウキボタキノウホームユメナゴミ,小規模多機能型居宅介護,北海道札幌市北区新琴似２条１３丁目８番３号,,43.113923927954440,141.306907123278880,011-769-0701,011-769-0717,5430005003479,社会福祉法人清香園,0190200881,,,0,http://www.seikaen-hp.com/u-nagomi/s-takino.html,,,,
011029,0190201301,北海道,札幌市北区,小規模多機能エルムの森,ショウキボタキノウエルムノモリ,小規模多機能型居宅介護,北海道札幌市北区北33条西12丁目1-13楽明館33,楽明館33,43.101987500000000,141.328809500000030,011-790-6850,011-790-6851,7430001038279,株式会社アルワン,0190201301,,,0,,なし,,,
011029,0190201491,北海道,札幌市北区,小規模多機能型居宅介護　らくら拓北弐番館,ショウキボタキノウガタキョタクカイゴラクラタクホクニバンカン,小規模多機能型居宅介護,札幌市北区拓北6条1丁目5－10,,43.156403900000000,141.374105000000000,011－299－1118,011－299－1132,,株式会社　らくらケア,0190201491,,,0,URL:http://www.lacura-g.com,なし,通常の指定,なし,
011029,0190200865,北海道,札幌市北区,小規模多機能型ホームメロディ,ショウキボタキノウガタホームメロディ,小規模多機能型居宅介護,北海道札幌市北区新琴似5条15丁目5-18小規模多機能ホームメロディ,小規模多機能ホームメロディ,43.121150700000020,141.307576599999980,011-299-2664,011-299-2638,8430002033856,有限会社エイチ・ティ・エス,0190200865,,,14,www.hts-grouphome.com,あり,通常の指定,なし,
011029,0190200469,北海道,札幌市北区,小規模多機能型居宅介護ひまり,ショウキボタキノウガタキョタクカイゴヒマリ,小規模多機能型居宅介護,北海道札幌市北区新川２条９丁目１番１５号,,43.103481000000000,141.305872300000030,011-769-4167,011-769-4166,3430001059155,株式会社アヴニール,0190200469,,,24,http://sapporo-avenir.com/,なし,,,
011029,0190200071,北海道,札幌市北区,『さくら丘』新琴似,サクラオカシンコトニ,小規模多機能型居宅介護,札幌市北区新琴似8条5丁目5-15,,43.116007600000000,141.329291700000000,011-762-0577,011-762-0578,4430001026055,株式会社北海道福祉事業協力会,0190200071,,,29,http://sakuraoka.biz/,なし,,,
011029,0190200766,北海道,札幌市北区,小規模多機能ホーム千里のこころ,ショウキボタキノホームセンリノココロ,小規模多機能型居宅介護,札幌市北区屯田3条3丁目1番33号,,43.125396599999990,141.338687199999980,011-773-5010,011-776-7721,1430001045090,株式会社セラビ,0190200766,,,21,http://www.care-1.jp/serabi/pc/index.html,なし,通常の指定,なし,
011029,0190200923,北海道,札幌市北区,小規模多機能　ら・すれ,ショウキボタキノウ　ラ・スレ,小規模多機能型居宅介護,北海道札幌市北区屯田１１条３丁目７番20号高齢者複合施設　ら・すれ,高齢者複合施設　ら・すれ,43.148425900000000,141.342108000000050,011-770-7300,011-770-6611,7430001028833,株式会社ノース・フィール,0190200923,,,0,https://north-feel.jp/,なし,通常の指定,なし,
011029,0190201095,北海道,札幌市北区,小規模多機能型ホームモナミ,ショウキボタキノウガタホームモナミ,小規模多機能型居宅介護,北海道札幌市北区北３７条西６丁目１番２６号小規模多機能型ホームモナミ,小規模多機能型ホームモナミ,43.104601400000010,141.337955500000000,011-776-6875,011-776-6877,1430001063919,株式会社モナミコーポレーション,0190201095,,,0,http://www.monami-net.co.jp,なし,通常の指定,なし,
